TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
Guadeloupe,171,0,14,0,157,0,0,427,35,5691,14223,400121,North America
Syria,170,6,6,0,71,93,0,10,0.3,0,0,17476694,Asia
Guyana,159,0,12,0,95,52,1,202,15,1927,2450,786377,South America
Bermuda,142,1,9,0,127,6,2,2280,144,8430,135339,62288,North America
Brunei ,141,0,2,0,138,1,1,322,5,24131,55185,437276,Asia
Angola,138,8,6,1,61,71,1,4,0.2,10000,305,32804751,Africa
Cambodia,126,0,0,0,125,1,1,8,0,26530,1588,16707229,Asia
Trinidad and Tobago,117,0,8,0,109,0,0,84,6,3876,2770,1399283,North America
Bahamas,103,0,11,0,68,24,1,262,28,2261,5752,393062,North America
Aruba,101,0,3,0,98,0,0,946,28,2220,20797,106745,North America
Monaco,99,0,4,0,93,2,0,2524,102,16200,412960,39229,Europe
Barbados,96,0,7,0,83,6,1,334,24,6449,22442,287359,North America
Burundi,85,0,1,0,45,39,0,7,0.08,382,32,11869738,Africa
Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23608,38123,Europe
Sint Maarten,77,0,15,0,61,1,1,1797,350,471,10991,42852,North America
Eritrea,65,24,0,0,39,26,0,18,0,0,0,3543931,Africa
Bhutan,62,0,0,0,20,42,0,80,0,20612,26728,771190,Asia
Botswana,60,12,1,0,24,35,1,26,0.4,26800,11409,2349057,Africa
French Polynesia,60,0,0,0,60,0,0,214,0,4262,15176,280832,Australia/Oceania
Macao,45,0,0,0,45,0,0,69,0,0,0,648887,Asia
Saint Martin,42,0,3,0,36,3,1,1087,78,685,17732,38631,North America
Namibia,32,1,0,0,17,15,1,13,0,5682,2238,2538466,Africa
Gambia,28,0,1,0,24,3,0,12,0.4,1970,817,2412698,Africa
St. Vincent Grenadines,27,0,0,0,25,2,0,243,0,643,5797,110924,North America
Antigua and Barbuda,26,0,3,0,20,3,1,266,31,489,4995,97890,North America
Timor-Leste,24,0,0,0,24,0,0,18,0,1568,1190,1317101,Asia
Grenada,23,0,0,0,22,1,1,204,0,4130,36711,112499,North America
Curaçao,22,0,1,0,15,6,0,134,6,1080,6583,164062,North America
New Caledonia,21,0,0,0,20,1,0,74,0,7582,26569,285365,Australia/Oceania
Belize,20,0,2,0,16,2,0,50,5,1776,4471,397245,North America
